adm3_name,adm3_name1,adm3_name2,adm3_name3,adm3_pcode,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm3_ref_name,center_lat,center_lon
Kotalipara,,,,BD30350051,Gopalganj,,,,BD3035,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,368.7575801,v03,en,,,,,23.01051938,90.02019937
Muksudpur,,,,BD30350058,Gopalganj,,,,BD3035,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,310.9892168,v03,en,,,,,23.26614945,89.91575687
Tungipara,,,,BD30350091,Gopalganj,,,,BD3035,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,131.3998313,v03,en,,,,,22.92359515,89.90223546
Austagram,,,,BD30480002,Kishoreganj,,,,BD3048,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,303.0369234,v03,en,,,,,24.32358689,91.12249556
Bajitpur,,,,BD30480006,Kishoreganj,,,,BD3048,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,188.6665001,v03,en,,,,,24.2266224,90.94846361
Bhairab,,,,BD30480011,Kishoreganj,,,,BD3048,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,118.9032685,v03,en,,,,,24.10221109,90.98120406
Hossainpur,,,,BD30480027,Kishoreganj,,,,BD3048,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,120.7822316,v03,en,,,,,24.44832765,90.66335442
Itna,,,,BD30480033,Kishoreganj,,,,BD3048,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,390.1769796,v03,en,,,,,24.55093334,91.08404973
Karimganj,,,,BD30480042,Kishoreganj,,,,BD3048,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,199.6515505,v03,en,,,,,24.45434037,90.89635343
Katiadi,,,,BD30480045,Kishoreganj,,,,BD3048,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,215.6533383,v03,en,,,,,24.2952187,90.82084672
Kishoreganj Sadar,,,,BD30480049,Kishoreganj,,,,BD3048,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,177.0730299,v03,en,,,,,24.42594991,90.78325593
Kuliarchar,,,,BD30480054,Kishoreganj,,,,BD3048,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,105.0163513,v03,en,,,,,24.15311063,90.88661308
Mithamain,,,,BD30480059,Kishoreganj,,,,BD3048,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,221.8661495,v03,en,,,,,24.43314857,91.11090071
Nikli,,,,BD30480076,Kishoreganj,,,,BD3048,Dhaka,,,,BD30,Bangladesh,,,,BD,21/05/23,,201.3116663,v03,en,,,,,24.33828073,90.96093837
